city,num_vehicles,num_requests,seed,trial,lambda_val,M_val,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,real_quantum_hardware,rep
32_Phoenix_City,5,5,50543,2,40000.0,80000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,3
32_Phoenix_City,5,5,50543,2,40000.0,80000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,4
32_Phoenix_City,5,5,50543,2,40000.0,200000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,0
32_Phoenix_City,5,5,50543,2,40000.0,200000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,1
32_Phoenix_City,5,5,50543,2,40000.0,200000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,2
32_Phoenix_City,5,5,50543,2,40000.0,200000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,3
32_Phoenix_City,5,5,50543,2,40000.0,200000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,4
32_Phoenix_City,5,5,50543,2,40000.0,400000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,0
32_Phoenix_City,5,5,50543,2,40000.0,400000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,1
32_Phoenix_City,5,5,50543,2,40000.0,400000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,2
32_Phoenix_City,5,5,50543,2,40000.0,400000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,3
32_Phoenix_City,5,5,50543,2,40000.0,400000.0,80.0,64.51523076923081,258.06092307692325,2.076366314975824,2.719201364601357,1326.1467692307688,0,4
32_Phoenix_City,5,5,50544,3,2500.0,5000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,0
32_Phoenix_City,5,5,50544,3,2500.0,5000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,1
32_Phoenix_City,5,5,50544,3,2500.0,5000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,2
32_Phoenix_City,5,5,50544,3,2500.0,5000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,3
32_Phoenix_City,5,5,50544,3,2500.0,5000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,4
32_Phoenix_City,5,5,50544,3,2500.0,12500.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,0
32_Phoenix_City,5,5,50544,3,2500.0,12500.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,1
32_Phoenix_City,5,5,50544,3,2500.0,12500.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,2
32_Phoenix_City,5,5,50544,3,2500.0,12500.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,3
32_Phoenix_City,5,5,50544,3,2500.0,12500.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,4
32_Phoenix_City,5,5,50544,3,2500.0,25000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,0
32_Phoenix_City,5,5,50544,3,2500.0,25000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,1
32_Phoenix_City,5,5,50544,3,2500.0,25000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,2
32_Phoenix_City,5,5,50544,3,2500.0,25000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,3
32_Phoenix_City,5,5,50544,3,2500.0,25000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,4
32_Phoenix_City,5,5,50544,3,5000.0,10000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,0
32_Phoenix_City,5,5,50544,3,5000.0,10000.0,100.0,138.65298461538458,693.264923076923,2.3868959003128536,4.224821934237266,1646.4067692307694,0,1
