city,run_type,nodes,num_vehicles,num_requests,seed,trial,rtv_graph_build_time,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,total_run_time,solve_time,qubo_build_time,time_min_cost_prep,time_qubo_gen,time_compress,time_quantum_solve,time_decode,time_vehicle_assignment,time_metrics_calc,time_struct_stats,time_total_quantum_block,ilp_num_vars,ilp_num_constraints,ilp_num_integer_vars,ilp_num_nonzero_coeffs,energy_gap,argmin_preservation,condition_number,real_quantum_hardware,K,infeasible_windows,arrival_violations,mean_slack,min_slack,max_slack,p25_slack,median_slack,p75_slack,base_qubo_vars,base_qubo_couplers,base_qubo_graph_density,base_node_density_avg,base_node_density_max,base_node_density_min,base_degree_avg,base_degree_max,base_degree_min,base_qubo_max_abs,base_qubo_min_nonzero_abs,base_qubo_dynamic_range,comp_qubo_vars,comp_qubo_couplers,comp_qubo_graph_density,comp_node_density_avg,comp_node_density_max,comp_node_density_min,comp_degree_avg,comp_degree_max,comp_degree_min,comp_qubo_max_abs,comp_qubo_min_nonzero_abs,comp_qubo_dynamic_range,qubo_logical_qubits,time_greedy_build_candidates,greedy_edges_total,time_greedy_sort,time_greedy_select,time_greedy_total,greedy_sort_work,greedy_assignments,lambda_val,M_val,raw_selected_trips,raw_kept_trips,raw_dropped_trips,raw_violation_rate,raw_infeasible_instance,base_qubo_logical_qubits,ilp_num_binary_vars,ilp_num_continuous_vars
32_Phoenix_City,Quantum,15324,20,20,202044,3,0.4637493999907747,95.0,479.0777327935223,1605.3443076923077,1.6725162248107128,2.0702451899759167,8176.251384615385,5.483508299977984,5.478501599980518,0.0011805999674834,0.0001952999737113,0.000985299993772,,5.478501599980518,5.140004213899374e-05,0.0017840000218711,0.0002788000274449,0.000574100005906,5.483508299977984,,,,,,,,0.0,,0,19,2663.85,1272.0,4195.0,2065.5,2671.0,3439.75,590.0,1140.0,0.0065609622744669,0.0131219245489338,0.0135823429541595,0.0067911714770797,7.728813559322034,8.0,4.0,50000.0,22542.29815384616,2.2180524655809783,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,106.0,10.0,96.0,0.9056603773584906,1.0,590.0,,
32_Phoenix_City,ClassicalGreedy,15324,20,20,202045,4,0.408166799985338,85.0,566.8141719457013,1686.5409230769233,1.1100600920646309,1.758682517070295,3960.2581538461536,0.0012444999883882,0.0008764000376686,,,,,,,,,,,,,,,,,,,,0,18,2886.55,1470.0,4564.0,1918.5,3105.0,3632.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004704000311903,1907.0,0.0001735999830998,0.0001793000265024,0.0008233000407926,19711.99709029147,9.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,20,20,202045,4,0.408166799985338,100.0,654.8270923076923,1686.5409230769233,1.204755776673884,2.153837359444773,5099.312307692308,0.103853499982506,0.1033931999700144,,,,,,,,,,,1927.0,40.0,1927.0,5491.0,,,,,,0,18,2886.55,1470.0,4564.0,1918.5,3105.0,3632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,20,20,202045,4,0.408166799985338,95.0,836.6417327935222,1753.484923076923,1.5304846871688234,2.292277425790176,7082.263384615385,5.459669400006533,5.4547176999622025,0.0010328000062145,0.000172299973201,0.0008605000330135,,5.4547176999622025,5.490001058205962e-05,0.001717799983453,0.0002917000092566,0.0005738000036217,5.459669400006533,,,,,,,,0.0,,0,18,2886.55,1470.0,4564.0,1918.5,3105.0,3632.0,590.0,1140.0,0.0065609622744669,0.0131219245489338,0.0135823429541595,0.0067911714770797,7.728813559322034,8.0,4.0,50000.0,22552.52923076923,2.217046234077515,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,107.0,11.0,96.0,0.897196261682243,1.0,590.0,,
32_Phoenix_City,ClassicalGreedy,15324,20,20,202046,5,0.4702469000476412,100.0,521.9549846153847,1784.797846153846,1.5664605188663157,5.373699888669347,5305.054307692307,0.001662699971348,0.0012468000059016,,,,,,,,,,,,,,,,,,,,0,19,2837.5,1301.0,4423.0,2025.25,2899.5,3624.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006432000081986,2782.0,0.00024789996678,0.0002910000039264,0.0011820999789051,30434.65634256557,10.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,20,20,202046,5,0.4702469000476412,100.0,503.96817692307695,1594.9292307692308,11298.46364235886,135568.99999999997,4722.078615384616,0.1537394000333733,0.1531958000268787,,,,,,,,,,,2802.0,40.0,2802.0,8058.0,,,,,,0,19,2837.5,1301.0,4423.0,2025.25,2899.5,3624.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,20,20,202046,5,0.4702469000476412,100.0,601.8012076923077,1607.180307692307,1.534958104994974,2.6192158550870284,6548.282923076924,5.496867800015025,5.491543200041633,0.0010698999976739,0.0002153000095859,0.000854599988088,,5.491543200041633,5.4999953135848045e-05,0.0023355999728664,0.000303300039377,0.0005705999792553,5.496867800015025,,,,,,,,0.0,,0,19,2837.5,1301.0,4423.0,2025.25,2899.5,3624.25,590.0,1140.0,0.0065609622744669,0.0131219245489338,0.0135823429541595,0.0067911714770797,7.728813559322034,8.0,4.0,50000.0,22541.71353846154,2.218109990382412,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,107.0,11.0,96.0,0.897196261682243,1.0,590.0,,
32_Phoenix_City,ClassicalGreedy,15324,20,20,202047,6,0.4231249999720603,100.0,228.6584307692308,1350.724923076923,1.1542902480956987,1.5305099479247062,5362.887076923077,0.0017852999735623,0.001312099979259,,,,,,,,,,,,,,,,,,,,0,20,3009.2,1309.0,4764.0,2042.25,3040.5,3861.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006294000195339,3120.0,0.0003060000599361,0.0003239999641664,0.0012594000436365,34673.92512430015,10.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,20,20,202047,6,0.4231249999720603,100.0,333.98550000000006,1643.0969230769233,1.081247548286853,1.5942286728403097,4677.733846153846,0.1612970000132918,0.160813299997244,,,,,,,,,,,3140.0,40.0,3140.0,9043.0,,,,,,0,20,3009.2,1309.0,4764.0,2042.25,3040.5,3861.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,20,20,202047,6,0.4231249999720603,95.0,369.09867206477736,1585.8104615384618,1.5571074512588643,2.392862567045827,7176.235384615386,5.493132000032347,5.487760300049558,0.0010901999776251,0.000227199983783,0.000862999993842,,5.487760300049558,5.479995161294937e-05,0.0021782999974675,0.0002793000312522,0.0006517000147141,5.493132000032347,,,,,,,,0.0,,0,20,3009.2,1309.0,4764.0,2042.25,3040.5,3861.5,590.0,1140.0,0.0065609622744669,0.0131219245489338,0.0135823429541595,0.0067911714770797,7.728813559322034,8.0,4.0,50000.0,22583.50153846154,2.214005649869925,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,106.0,10.0,96.0,0.9056603773584906,1.0,590.0,,
32_Phoenix_City,ClassicalGreedy,15324,20,20,202048,7,0.4632016000105068,100.0,341.45213846153854,1769.785230769231,1.1007397545391002,1.9140179978591905,6173.619076923076,0.0021208999678492,0.001541499979794,,,,,,,,,,,,,,,,,,,,0,20,2977.55,1201.0,4779.0,1877.5,3259.0,3803.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007531000301241,3080.0,0.0003822000580839,0.0003358999383635,0.0014712000265717,34168.03352295027,10.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,20,20,202048,7,0.4632016000105068,100.0,469.3482923076923,1757.2024615384616,1.079941483008351,1.6385373947247437,5499.557538461537,0.1998187999706715,0.1993443999672308,,,,,,,,,,,3100.0,40.0,3100.0,8926.0,,,,,,0,20,2977.55,1201.0,4779.0,1877.5,3259.0,3803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
