seed,trial,num_vehicles,num_requests,real_quantum_hardware,request_id,served,slack,detour_factor
201047,6,10,20,0,20,1,4493.0,1.6040049160735184
201048,7,10,20,0,1,1,3750.0,1.6498733722815473
201048,7,10,20,0,2,1,4482.0,1.2524713115256023
201048,7,10,20,0,3,1,4073.0,1.6498733722815473
201048,7,10,20,0,4,1,2541.0,1.780628768372063
201048,7,10,20,0,5,1,4435.0,1.5601568914724826
201048,7,10,20,0,6,1,1622.0,1.780628768372063
201048,7,10,20,0,7,1,1934.0,1.6313107094309416
201048,7,10,20,0,8,1,2985.0,1.5601568914724826
201048,7,10,20,0,9,1,3747.0,1.6260626148988402
201048,7,10,20,0,10,1,2921.0,2.1541236966380493
201048,7,10,20,0,11,1,3732.0,1.936624031944587
201048,7,10,20,0,12,1,3786.0,1.4636111111111108
201048,7,10,20,0,13,0,2224.0,
201048,7,10,20,0,14,0,1575.0,
201048,7,10,20,0,15,1,4098.0,1.4636111111111108
201048,7,10,20,0,16,1,4004.0,1.2524713115256023
201048,7,10,20,0,17,1,1792.0,1.6313107094309416
201048,7,10,20,0,18,0,1738.0,
201048,7,10,20,0,19,1,3188.0,1.6260626148988402
201048,7,10,20,0,20,1,1621.0,1.936624031944587
201049,8,10,20,0,1,1,1977.0,2.6066581682682894
201049,8,10,20,0,2,0,3419.0,
201049,8,10,20,0,3,1,2888.0,1.4036107549696821
201049,8,10,20,0,4,1,2227.0,1.326988018217714
201049,8,10,20,0,5,1,1803.0,1.1086013425192127
201049,8,10,20,0,6,0,2192.0,
201049,8,10,20,0,7,1,4121.0,2.8303404717734435
201049,8,10,20,0,8,1,3904.0,1.6342101156274385
201049,8,10,20,0,9,0,3798.0,
201049,8,10,20,0,10,0,3839.0,
201049,8,10,20,0,11,1,2758.0,2.8303404717734435
201049,8,10,20,0,12,1,1530.0,1.6902957984273106
201049,8,10,20,0,13,1,3927.0,1.8368059851635077
201049,8,10,20,0,14,1,2054.0,1.727210427602739
201049,8,10,20,0,15,1,3086.0,1.8368059851635077
201049,8,10,20,0,16,1,2725.0,2.6066581682682894
201049,8,10,20,0,17,1,2018.0,2.7520714913688726
201049,8,10,20,0,18,1,4190.0,1.727210427602739
201049,8,10,20,0,19,1,2084.0,1.6902957984273106
201049,8,10,20,0,20,1,3081.0,1.4036107549696821
201050,9,10,20,0,1,1,4610.0,1.6278081618613816
201050,9,10,20,0,2,1,3500.0,1.727953437940103
201050,9,10,20,0,3,1,2586.0,2.210120654412191
201050,9,10,20,0,4,0,3380.0,
201050,9,10,20,0,5,1,4036.0,1.0764975175585068
201050,9,10,20,0,6,1,1939.0,2.363737368298243
201050,9,10,20,0,7,0,3994.0,
201050,9,10,20,0,8,1,2601.0,3.2989139384931097
201050,9,10,20,0,9,1,1219.0,1.727953437940103
201050,9,10,20,0,10,0,1844.0,
201050,9,10,20,0,11,0,2781.0,
201050,9,10,20,0,12,1,4726.0,2.089248075867794
201050,9,10,20,0,13,1,2936.0,1.6278081618613816
201050,9,10,20,0,14,1,4171.0,1.719947760266895
201050,9,10,20,0,15,0,1857.0,
201050,9,10,20,0,16,0,3810.0,
201050,9,10,20,0,17,0,3907.0,
201050,9,10,20,0,18,1,2087.0,3.2989139384931097
201050,9,10,20,0,19,1,3092.0,1.719947760266895
201050,9,10,20,0,20,1,2444.0,2.089248075867794
201051,10,10,20,0,1,1,1729.0,1.283168233980691
201051,10,10,20,0,2,1,2195.0,1.8832083534490052
201051,10,10,20,0,3,1,2326.0,1.9076480251899517
201051,10,10,20,0,4,1,4252.0,1.6488927995760787
201051,10,10,20,0,5,1,3036.0,2.0628470619421293
201051,10,10,20,0,6,1,2966.0,2.0628470619421293
201051,10,10,20,0,7,1,4645.0,2.2511836293730743
201051,10,10,20,0,8,1,4345.0,1.283168233980691
201051,10,10,20,0,9,1,3365.0,1.8832083534490052
201051,10,10,20,0,10,1,3643.0,1.7240635898690984
201051,10,10,20,0,11,1,2498.0,2.2511836293730743
201051,10,10,20,0,12,1,4779.0,2.1645032460744047
201051,10,10,20,0,13,1,1839.0,1.8048296561263386
201051,10,10,20,0,14,1,4526.0,2.1459033184847467
201051,10,10,20,0,15,1,3289.0,2.1645032460744047
201051,10,10,20,0,16,1,3395.0,1.6488927995760787
201051,10,10,20,0,17,1,3276.0,1.9076480251899517
201051,10,10,20,0,18,1,1839.0,1.8048296561263386
201051,10,10,20,0,19,1,1979.0,1.7240635898690984
201051,10,10,20,0,20,1,3120.0,2.1459033184847467
202042,1,20,20,0,1,1,2055.0,1.2719703034071403
202042,1,20,20,0,2,1,2383.0,1.1874831521029379
202042,1,20,20,0,3,1,3146.0,1.3185712479107023
202042,1,20,20,0,4,1,4245.0,1.1168803115491668
202042,1,20,20,0,5,1,4613.0,1.2117956000156778
202042,1,20,20,0,6,1,3617.0,1.1850666718303349
202042,1,20,20,0,7,1,3888.0,1.4272891825784155
202042,1,20,20,0,8,1,4456.0,1.7762963305090989
202042,1,20,20,0,9,1,1567.0,1.1874831521029379
202042,1,20,20,0,10,1,1383.0,1.806510076719992
202042,1,20,20,0,11,1,1871.0,1.6557474874020237
202042,1,20,20,0,12,1,4601.0,0.9616209141510198
202042,1,20,20,0,13,0,3407.0,
202042,1,20,20,0,14,1,3934.0,2.2668429272600106
202042,1,20,20,0,15,1,3181.0,0.9616209141510198
202042,1,20,20,0,16,1,4116.0,1.6557474874020237
202042,1,20,20,0,17,1,1337.0,1.4272891825784155
202042,1,20,20,0,18,1,4690.0,1.7762963305090989
202042,1,20,20,0,19,1,4733.0,1.1168803115491668
202042,1,20,20,0,20,1,3634.0,2.2668429272600106
202043,2,20,20,0,1,1,3641.0,0.9552940451407913
202043,2,20,20,0,2,1,4529.0,1.6848299551001746
202043,2,20,20,0,3,1,2344.0,1.1424464310154325
