num_requests,num_vehicles,lambda_val,M_val,mean_percent_serviced,sem_percent_serviced,n_runs,rank,tied_with_best
30,20,10000.0,50000.0,91.33333333333333,2.000000000000001,15,14,False
30,20,40000.0,200000.0,89.33333333333333,2.5448360411214086,15,15,False
30,30,40000.0,200000.0,98.66666666666667,0.43643578047198295,15,1,True
30,30,5000.0,50000.0,98.22222222222223,0.5507730658062684,15,2,False
30,30,10000.0,20000.0,97.77777777777779,0.5312127152597295,15,3,False
30,30,10000.0,100000.0,97.55555555555557,0.5109040298232078,15,4,False
30,30,2500.0,12500.0,97.33333333333333,0.581914373962647,15,5,False
30,30,20000.0,100000.0,97.33333333333333,0.5819143739626471,15,6,False
30,30,40000.0,400000.0,97.33333333333333,0.8099905283919427,15,7,False
30,30,2500.0,5000.0,97.11111111111113,0.4444444444444441,15,8,False
30,30,20000.0,40000.0,97.11111111111111,0.6396648152257114,15,9,False
30,30,5000.0,10000.0,96.8888888888889,0.6875050104034212,15,10,False
30,30,2500.0,25000.0,96.66666666666667,0.650600048632357,15,11,False
30,30,40000.0,80000.0,96.66666666666667,0.72739296745331,15,12,False
30,30,5000.0,25000.0,96.22222222222223,0.4444444444444468,15,13,False
30,30,10000.0,50000.0,96.22222222222223,0.6396648152257128,15,14,False
30,30,20000.0,200000.0,96.22222222222223,0.6396648152257134,15,15,False
40,20,5000.0,50000.0,90.66666666666667,1.881404406203658,15,1,True
40,20,2500.0,25000.0,90.33333333333333,2.4135858852331777,15,2,True
40,20,40000.0,400000.0,89.66666666666667,2.260776661041757,15,3,True
40,20,5000.0,25000.0,89.66666666666667,1.855921454276674,15,4,True
40,20,20000.0,40000.0,89.66666666666667,1.501322168612803,15,5,True
40,20,40000.0,80000.0,89.33333333333333,2.4816788991991214,15,6,True
40,20,10000.0,50000.0,89.33333333333333,2.062515031210259,15,7,True
40,20,5000.0,10000.0,88.66666666666667,1.8559214542766738,15,8,False
40,20,2500.0,5000.0,88.33333333333333,2.2182504188289736,15,9,False
40,20,40000.0,200000.0,88.33333333333333,2.1639176700003357,15,10,False
40,20,20000.0,200000.0,87.33333333333333,2.7545056883770607,15,11,False
40,20,2500.0,12500.0,87.33333333333333,1.8170270503179922,15,12,False
40,20,20000.0,100000.0,87.0,2.5260547066428263,15,13,False
40,20,10000.0,100000.0,86.66666666666667,2.6577230975953956,15,14,False
40,20,10000.0,20000.0,86.33333333333333,2.4624158997805514,15,15,False
40,40,2500.0,5000.0,97.33333333333333,0.666666666666667,15,1,True
40,40,2500.0,25000.0,97.33333333333333,0.6666666666666667,15,2,True
40,40,5000.0,25000.0,97.33333333333333,0.6666666666666665,15,3,True
40,40,5000.0,50000.0,97.33333333333333,0.666666666666667,15,4,True
40,40,20000.0,40000.0,97.0,0.6546536707079771,15,5,True
40,40,40000.0,80000.0,97.0,0.6546536707079769,15,6,True
40,40,40000.0,200000.0,96.66666666666667,0.796819072889596,15,7,True
